=== Tenant Migration Log Started: 2026-01-17T18:32:54.887233200 ===
[18:32:55] [4] [categories] 2_1768666667186 -> 2_1768666667186 [OK]
[18:32:55] [4] [categories] 3 -> 3 [OK]
[18:32:55] [4] [categories] 30 -> 30 [OK]
[18:32:55] [4] [categories] 30_1768627860134 -> 30_1768627860134 [OK]
[18:32:55] [4] [categories] 30_1768627947084 -> 30_1768627947084 [OK]
[18:32:55] [4] [categories] 30_1768666667223 -> 30_1768666667223 [OK]
[18:32:55] [4] [categories] 31 -> 31 [OK]
[18:32:55] [4] [categories] 31_1768627860207 -> 31_1768627860207 [OK]
[18:32:55] [4] [categories] 31_1768627947101 -> 31_1768627947101 [OK]
[18:32:55] [4] [categories] 31_1768666667226 -> 31_1768666667226 [OK]
[18:32:55] [4] [categories] 3_1768627860130 -> 3_1768627860130 [OK]
[18:32:55] [4] [categories] 3_1768627947081 -> 3_1768627947081 [OK]
[18:32:55] [4] [categories] 3_1768666667220 -> 3_1768666667220 [OK]
[18:32:55] [4] [categories] 5 -> 5 [OK]
[18:32:55] [4] [categories] 5_1768627860213 -> 5_1768627860213 [OK]
[18:32:55] [4] [categories] 5_1768627947103 -> 5_1768627947103 [OK]
[18:32:55] [4] [categories] 5_1768666667231 -> 5_1768666667231 [OK]
[18:32:55] [4] [categories] 6 -> 6 [OK]
[18:32:55] [4] [categories] 6_1768627860219 -> 6_1768627860219 [OK]
[18:32:55] [4] [categories] 6_1768627947106 -> 6_1768627947106 [OK]
[18:32:55] [4] [categories] 6_1768666667234 -> 6_1768666667234 [OK]
[18:32:55] [4] [categories] 8 -> 8 [OK]
[18:32:55] [4] [categories] 8_1768627860224 -> 8_1768627860224 [OK]
[18:32:55] [4] [categories] 8_1768627947112 -> 8_1768627947112 [OK]
[18:32:55] [4] [categories] 8_1768666667237 -> 8_1768666667237 [OK]
[18:32:55] [4] [categories] 9 -> 9 [OK]
[18:32:55] [4] [categories] 9_1768627860227 -> 9_1768627860227 [OK]
[18:32:55] [4] [categories] 9_1768627947114 -> 9_1768627947114 [OK]
[18:32:55] [4] [categories] 9_1768666667241 -> 9_1768666667241 [OK]
[18:32:55] [4] [customers] 10 -> 10 [OK]
[18:32:55] [4] [customers] 10_1768624694139 -> 10_1768624694139 [OK]
[18:32:55] [4] [customers] 10_1768627774747 -> 10_1768627774747 [OK]
[18:32:55] [4] [customers] 10_1768627860289 -> 10_1768627860289 [OK]
[18:32:55] [4] [customers] 10_1768627947119 -> 10_1768627947119 [OK]
[18:32:55] [4] [customers] 10_1768666667244 -> 10_1768666667244 [OK]
[18:32:55] [4] [customers] 18 -> 18 [OK]
[18:32:55] [4] [customers] 18_1768624694141 -> 18_1768624694141 [OK]
[18:32:55] [4] [customers] 18_1768627774761 -> 18_1768627774761 [OK]
[18:32:55] [4] [customers] 18_1768627860293 -> 18_1768627860293 [OK]
[18:32:55] [4] [customers] 18_1768627947123 -> 18_1768627947123 [OK]
[18:32:55] [4] [customers] 18_1768666667248 -> 18_1768666667248 [OK]
[18:32:55] [4] [customers] 7 -> 7 [OK]
[18:32:55] [4] [customers] 7_1768624694144 -> 7_1768624694144 [OK]
[18:32:55] [4] [customers] 7_1768627774764 -> 7_1768627774764 [OK]
[18:32:55] [4] [customers] 7_1768627860299 -> 7_1768627860299 [OK]
[18:32:55] [4] [customers] 7_1768627947128 -> 7_1768627947128 [OK]
[18:32:55] [4] [customers] 7_1768666667250 -> 7_1768666667250 [OK]
[18:32:55] [4] [customers] 87 -> 87 [OK]
[18:32:55] [4] [customers] 87_1768627860302 -> 87_1768627860302 [OK]
[18:32:55] [4] [customers] 87_1768627947131 -> 87_1768627947131 [OK]
[18:32:55] [4] [customers] 87_1768666667252 -> 87_1768666667252 [OK]
[18:32:55] [4] [customers] 88 -> 88 [OK]
[18:32:55] [4] [customers] 88_1768627860306 -> 88_1768627860306 [OK]
[18:32:55] [4] [customers] 88_1768627947134 -> 88_1768627947134 [OK]
[18:32:55] [4] [customers] 88_1768666667255 -> 88_1768666667255 [OK]
[18:32:55] [4] [products] 1 -> 1 [OK]
[18:32:55] [4] [products] 10 -> 10 [OK]
[18:32:55] [4] [products] 100 -> 100 [OK]
[18:32:55] [4] [products] 100_1768627860318 -> 100_1768627860318 [OK]
[18:32:55] [4] [products] 100_1768627947146 -> 100_1768627947146 [OK]
[18:32:55] [4] [products] 100_1768666667263 -> 100_1768666667263 [OK]
[18:32:55] [4] [products] 101 -> 101 [OK]
[18:32:55] [4] [products] 101_1768627860333 -> 101_1768627860333 [OK]
[18:32:55] [4] [products] 101_1768627947150 -> 101_1768627947150 [OK]
[18:32:55] [4] [products] 101_1768666667266 -> 101_1768666667266 [OK]
[18:32:55] [4] [products] 102 -> 102 [OK]
[18:32:55] [4] [products] 102_1768627860337 -> 102_1768627860337 [OK]
[18:32:55] [4] [products] 102_1768627947152 -> 102_1768627947152 [OK]
[18:32:55] [4] [products] 102_1768666667269 -> 102_1768666667269 [OK]
[18:32:55] [4] [products] 103 -> 103 [OK]
[18:32:55] [4] [products] 103_1768627860340 -> 103_1768627860340 [OK]
[18:32:55] [4] [products] 103_1768627947156 -> 103_1768627947156 [OK]
[18:32:55] [4] [products] 103_1768666667271 -> 103_1768666667271 [OK]
[18:32:55] [4] [products] 104 -> 104 [OK]
[18:32:55] [4] [products] 104_1768627860344 -> 104_1768627860344 [OK]
[18:32:55] [4] [products] 104_1768627947164 -> 104_1768627947164 [OK]
[18:32:55] [4] [products] 104_1768666667273 -> 104_1768666667273 [OK]
[18:32:55] [4] [products] 105 -> 105 [OK]
[18:32:55] [4] [products] 105_1768627860352 -> 105_1768627860352 [OK]
[18:32:55] [4] [products] 105_1768627947167 -> 105_1768627947167 [OK]
[18:32:55] [4] [products] 105_1768666667275 -> 105_1768666667275 [OK]
[18:32:55] [4] [products] 106 -> 106 [OK]
[18:32:55] [4] [products] 106_1768627860360 -> 106_1768627860360 [OK]
[18:32:55] [4] [products] 106_1768627947171 -> 106_1768627947171 [OK]
[18:32:55] [4] [products] 106_1768666667277 -> 106_1768666667277 [OK]
[18:32:55] [4] [products] 10_1768627860315 -> 10_1768627860315 [OK]
[18:32:55] [4] [products] 10_1768627947143 -> 10_1768627947143 [OK]
[18:32:55] [4] [products] 10_1768666667260 -> 10_1768666667260 [OK]
[18:32:55] [4] [products] 11 -> 11 [OK]
[18:32:55] [4] [products] 11_1768627860384 -> 11_1768627860384 [OK]
[18:32:55] [4] [products] 11_1768627947180 -> 11_1768627947180 [OK]
[18:32:55] [4] [products] 11_1768666667280 -> 11_1768666667280 [OK]
[18:32:55] [4] [products] 12 -> 12 [OK]
[18:32:55] [4] [products] 12_1768627860389 -> 12_1768627860389 [OK]
[18:32:55] [4] [products] 12_1768627947190 -> 12_1768627947190 [OK]
[18:32:55] [4] [products] 12_1768666667283 -> 12_1768666667283 [OK]
[18:32:55] [4] [products] 14 -> 14 [OK]
[18:32:55] [4] [products] 14_1768627860395 -> 14_1768627860395 [OK]
[18:32:55] [4] [products] 14_1768627947200 -> 14_1768627947200 [OK]
[18:32:55] [4] [products] 14_1768666667286 -> 14_1768666667286 [OK]
[18:32:55] [4] [products] 15 -> 15 [OK]
[18:32:55] [4] [products] 15_1768627860400 -> 15_1768627860400 [OK]
[18:32:55] [4] [products] 15_1768627947203 -> 15_1768627947203 [OK]
[18:32:55] [4] [products] 15_1768666667289 -> 15_1768666667289 [OK]
[18:32:55] [4] [products] 16 -> 16 [OK]
[18:32:55] [4] [products] 16_1768627860412 -> 16_1768627860412 [OK]
[18:32:55] [4] [products] 16_1768627947206 -> 16_1768627947206 [OK]
[18:32:55] [4] [products] 16_1768666667291 -> 16_1768666667291 [OK]
[18:32:55] [4] [products] 17 -> 17 [OK]
[18:32:55] [4] [products] 17_1768627860415 -> 17_1768627860415 [OK]
[18:32:55] [4] [products] 17_1768627947210 -> 17_1768627947210 [OK]
[18:32:55] [4] [products] 17_1768666667293 -> 17_1768666667293 [OK]
[18:32:55] [4] [products] 18 -> 18 [OK]
[18:32:55] [4] [products] 18_1768627860427 -> 18_1768627860427 [OK]
[18:32:55] [4] [products] 18_1768627947213 -> 18_1768627947213 [OK]
[18:32:55] [4] [products] 18_1768666667295 -> 18_1768666667295 [OK]
[18:32:55] [4] [products] 19 -> 19 [OK]
[18:32:55] [4] [products] 19_1768627860437 -> 19_1768627860437 [OK]
[18:32:55] [4] [products] 19_1768627947215 -> 19_1768627947215 [OK]
[18:32:55] [4] [products] 19_1768666667300 -> 19_1768666667300 [OK]
[18:32:55] [4] [products] 1_1768627860313 -> 1_1768627860313 [OK]
[18:32:55] [4] [products] 1_1768627947138 -> 1_1768627947138 [OK]
[18:32:55] [4] [products] 1_1768666667258 -> 1_1768666667258 [OK]
